дата,дата_время,тип_оплаты,карта,сумма,название_кофе
2026-04-16,2026-04-16 12:52:07.750,карта,ANON-0000-0000-0064,28.9,Кортадо
2026-04-16,2026-04-16 15:03:16.889,карта,ANON-0000-0000-0118,28.9,Американо
2026-04-16,2026-04-16 17:42:04.208,карта,ANON-0000-0000-0024,33.8,Американо с молоком
2026-04-16,2026-04-16 17:43:22.960,карта,ANON-0000-0000-0009,38.7,Капучино
2026-04-16,2026-04-16 18:09:05.273,карта,ANON-0000-0000-0050,38.7,Какао
2026-04-17,2026-04-17 13:32:59.792,карта,ANON-0000-0000-0012,28.9,Американо
2026-04-17,2026-04-17 13:44:00.181,карта,ANON-0000-0000-0119,24.0,Эспрессо
2026-04-17,2026-04-17 16:13:24.310,наличные,,40.0,Капучино
2026-04-17,2026-04-17 17:01:35.149,карта,ANON-0000-0000-0120,38.7,Капучино
2026-04-17,2026-04-17 17:02:40.687,карта,ANON-0000-0000-0120,38.7,Капучино
2026-04-17,2026-04-17 18:14:03.229,карта,ANON-0000-0000-0121,28.9,Кортадо
2026-04-18,2026-04-18 11:19:01.693,карта,ANON-0000-0000-0003,28.9,Американо
2026-04-18,2026-04-18 11:20:05.696,карта,ANON-0000-0000-0003,28.9,Американо
2026-04-18,2026-04-18 13:49:12.720,карта,ANON-0000-0000-0122,33.8,Американо с молоком
2026-04-18,2026-04-18 13:50:17.285,карта,ANON-0000-0000-0122,28.9,Кортадо
2026-04-18,2026-04-18 14:34:19.818,карта,ANON-0000-0000-0123,38.7,Капучино
2026-04-18,2026-04-18 14:35:49.354,карта,ANON-0000-0000-0123,38.7,Латте
2026-04-18,2026-04-18 17:44:15.791,карта,ANON-0000-0000-0069,38.7,Латте
2026-04-18,2026-04-18 18:21:05.945,карта,ANON-0000-0000-0085,38.7,Капучино
2026-04-18,2026-04-18 19:39:51.193,карта,ANON-0000-0000-0024,38.7,Горячий шоколад
2026-04-18,2026-04-18 19:40:48.954,карта,ANON-0000-0000-0009,38.7,Горячий шоколад
2026-04-19,2026-04-19 10:10:36.254,карта,ANON-0000-0000-0001,38.7,Латте
2026-04-19,2026-04-19 13:11:47.848,карта,ANON-0000-0000-0040,33.8,Американо с молоком
2026-04-19,2026-04-19 13:13:20.876,карта,ANON-0000-0000-0040,38.7,Капучино
2026-04-19,2026-04-19 13:58:54.064,карта,ANON-0000-0000-0124,38.7,Горячий шоколад
2026-04-19,2026-04-19 13:59:49.690,карта,ANON-0000-0000-0124,38.7,Капучино
2026-04-19,2026-04-19 18:23:19.311,карта,ANON-0000-0000-0024,38.7,Какао
2026-04-19,2026-04-19 18:25:33.440,карта,ANON-0000-0000-0009,33.8,Американо с молоком
2026-04-20,2026-04-20 11:24:42.681,наличные,,35.0,Американо с молоком
2026-04-20,2026-04-20 12:08:35.701,карта,ANON-0000-0000-0125,33.8,Американо с молоком
2026-04-20,2026-04-20 12:09:42.664,карта,ANON-0000-0000-0125,33.8,Американо с молоком
2026-04-20,2026-04-20 13:08:37.378,карта,ANON-0000-0000-0118,28.9,Американо
2026-04-20,2026-04-20 13:09:47.905,карта,ANON-0000-0000-0118,33.8,Американо с молоком
2026-04-20,2026-04-20 13:10:55.151,карта,ANON-0000-0000-0118,38.7,Горячий шоколад
2026-04-20,2026-04-20 14:44:18.118,карта,ANON-0000-0000-0040,38.7,Капучино
2026-04-20,2026-04-20 15:11:00.330,карта,ANON-0000-0000-0009,33.8,Американо с молоком
2026-04-20,2026-04-20 15:22:40.717,карта,ANON-0000-0000-0012,32.82,Американо с молоком
2026-04-20,2026-04-20 15:49:25.148,карта,ANON-0000-0000-0126,32.82,Американо с молоком
2026-04-20,2026-04-20 17:07:57.969,наличные,,39.0,Какао
2026-04-20,2026-04-20 18:27:41.496,карта,ANON-0000-0000-0127,37.72,Капучино
2026-04-20,2026-04-20 18:28:46.900,карта,ANON-0000-0000-0127,37.72,Капучино
2026-04-20,2026-04-20 19:30:55.317,карта,ANON-0000-0000-0128,37.72,Латте
2026-04-21,2026-04-21 11:16:45.707,карта,ANON-0000-0000-0001,37.72,Латте
2026-04-21,2026-04-21 14:15:37.541,карта,ANON-0000-0000-0099,27.92,Американо
2026-04-21,2026-04-21 17:09:03.199,наличные,,39.0,Капучино
2026-04-22,2026-04-22 11:09:16.412,карта,ANON-0000-0000-0012,27.92,Американо
2026-04-22,2026-04-22 11:29:27.099,карта,ANON-0000-0000-0129,32.82,Американо с молоком
2026-04-22,2026-04-22 18:40:33.024,наличные,,39.0,Латте
2026-04-22,2026-04-22 19:39:04.759,карта,ANON-0000-0000-0009,37.72,Латте
2026-04-22,2026-04-22 20:02:29.165,наличные,,39.0,Капучино
2026-04-23,2026-04-23 14:22:35.995,карта,ANON-0000-0000-0025,37.72,Капучино
2026-04-23,2026-04-23 14:23:53.144,карта,ANON-0000-0000-0024,32.82,Американо с молоком
2026-04-23,2026-04-23 14:24:57.515,карта,ANON-0000-0000-0009,37.72,Капучино
2026-04-23,2026-04-23 19:42:27.765,карта,ANON-0000-0000-0130,32.82,Американо с молоком
2026-04-23,2026-04-23 19:43:26.234,карта,ANON-0000-0000-0130,32.82,Американо с молоком
2026-04-24,2026-04-24 10:19:38.346,карта,ANON-0000-0000-0001,37.72,Латте
2026-04-24,2026-04-24 10:21:27.287,карта,ANON-0000-0000-0131,32.82,Американо с молоком
2026-04-24,2026-04-24 11:23:46.102,карта,ANON-0000-0000-0132,32.82,Американо с молоком
2026-04-24,2026-04-24 11:33:26.347,карта,ANON-0000-0000-0133,32.82,Американо с молоком
2026-04-24,2026-04-24 12:39:09.298,карта,ANON-0000-0000-0059,32.82,Американо с молоком
2026-04-24,2026-04-24 16:39:07.423,карта,ANON-0000-0000-0009,32.82,Американо с молоком
2026-04-24,2026-04-24 19:39:49.983,карта,ANON-0000-0000-0134,32.82,Американо с молоком
2026-04-24,2026-04-24 19:40:54.031,карта,ANON-0000-0000-0134,37.72,Капучино
2026-04-25,2026-04-25 10:46:08.057,карта,ANON-0000-0000-0135,27.92,Американо
2026-04-25,2026-04-25 15:18:26.971,карта,ANON-0000-0000-0009,37.72,Латте
2026-04-25,2026-04-25 17:09:43.534,карта,ANON-0000-0000-0012,27.92,Американо
2026-04-25,2026-04-25 17:10:49.153,карта,ANON-0000-0000-0012,27.92,Американо
2026-04-26,2026-04-26 10:12:50.618,карта,ANON-0000-0000-0001,37.72,Латте
2026-04-26,2026-04-26 12:01:30.580,карта,ANON-0000-0000-0136,37.72,Латте
2026-04-26,2026-04-26 13:31:28.297,карта,ANON-0000-0000-0137,37.72,Капучино
2026-04-26,2026-04-26 15:32:35.390,карта,ANON-0000-0000-0012,27.92,Американо
2026-04-26,2026-04-26 15:33:33.132,карта,ANON-0000-0000-0012,27.92,Американо
2026-04-26,2026-04-26 16:23:26.514,карта,ANON-0000-0000-0138,27.92,Кортадо
2026-04-26,2026-04-26 16:24:33.800,карта,ANON-0000-0000-0139,27.92,Американо
2026-04-26,2026-04-26 19:32:07.112,карта,ANON-0000-0000-0009,37.72,Горячий шоколад
2026-04-26,2026-04-26 19:33:30.220,карта,ANON-0000-0000-0009,37.72,Какао
2026-04-27,2026-04-27 15:27:00.680,карта,ANON-0000-0000-0009,37.72,Капучино
2026-04-28,2026-04-28 10:32:52.479,карта,ANON-0000-0000-0001,37.72,Латте
2026-04-28,2026-04-28 12:30:09.749,карта,ANON-0000-0000-0140,37.72,Капучино
2026-04-28,2026-04-28 18:27:08.230,карта,ANON-0000-0000-0012,27.92,Американо
2026-04-28,2026-04-28 18:28:11.411,карта,ANON-0000-0000-0012,27.92,Американо
2026-04-28,2026-04-28 18:29:02.374,карта,ANON-0000-0000-0019,37.72,Латте
2026-04-29,2026-04-29 11:26:31.871,карта,ANON-0000-0000-0141,27.92,Кортадо
2026-04-29,2026-04-29 13:27:56.949,карта,ANON-0000-0000-0003,27.92,Американо
2026-04-29,2026-04-29 13:28:53.899,карта,ANON-0000-0000-0003,27.92,Кортадо
2026-04-29,2026-04-29 13:53:35.730,карта,ANON-0000-0000-0141,27.92,Кортадо
2026-04-29,2026-04-29 13:54:24.357,карта,ANON-0000-0000-0141,32.82,Американо с молоком
2026-04-29,2026-04-29 18:37:48.406,карта,ANON-0000-0000-0140,37.72,Капучино
2026-04-29,2026-04-29 19:12:33.194,карта,ANON-0000-0000-0134,37.72,Капучино
2026-04-29,2026-04-29 19:13:37.878,карта,ANON-0000-0000-0134,37.72,Капучино
2026-04-30,2026-04-30 10:16:41.493,карта,ANON-0000-0000-0142,37.72,Латте
2026-04-30,2026-04-30 10:34:52.250,карта,ANON-0000-0000-0142,32.82,Американо с молоком
2026-04-30,2026-04-30 10:35:47.617,карта,ANON-0000-0000-0142,32.82,Американо с молоком
2026-04-30,2026-04-30 13:41:52.325,карта,ANON-0000-0000-0142,27.92,Американо
2026-04-30,2026-04-30 13:42:59.977,карта,ANON-0000-0000-0142,32.82,Американо с молоком
2026-04-30,2026-04-30 19:19:18.139,карта,ANON-0000-0000-0142,37.72,Капучино
2026-04-30,2026-04-30 19:30:04.003,карта,ANON-0000-0000-0142,32.82,Американо с молоком
2026-04-30,2026-04-30 19:31:20.952,карта,ANON-0000-0000-0142,37.72,Латте
2026-05-02,2026-05-02 10:33:55.746,карта,ANON-0000-0000-0143,27.92,Американо
2026-05-02,2026-05-02 11:29:57.080,наличные,,39.0,Латте
2026-05-02,2026-05-02 13:49:39.898,карта,ANON-0000-0000-0133,32.82,Американо с молоком
2026-05-02,2026-05-02 18:36:22.138,карта,ANON-0000-0000-0144,37.72,Капучино
2026-05-02,2026-05-02 18:41:11.220,карта,ANON-0000-0000-0024,32.82,Американо с молоком
2026-05-02,2026-05-02 19:18:33.084,карта,ANON-0000-0000-0145,37.72,Латте
2026-05-02,2026-05-02 19:19:56.359,карта,ANON-0000-0000-0145,37.72,Капучино
2026-05-03,2026-05-03 10:11:53.399,наличные,,39.0,Латте
2026-05-03,2026-05-03 14:30:00.923,карта,ANON-0000-0000-0146,37.72,Латте
2026-05-03,2026-05-03 17:03:24.905,карта,ANON-0000-0000-0147,37.72,Латте
2026-05-06,2026-05-06 10:05:17.920,карта,ANON-0000-0000-0148,27.92,Американо
2026-05-06,2026-05-06 10:06:51.625,карта,ANON-0000-0000-0149,37.72,Капучино
2026-05-06,2026-05-06 10:08:05.863,карта,ANON-0000-0000-0149,32.82,Американо с молоком
2026-05-06,2026-05-06 10:09:07.977,карта,ANON-0000-0000-0150,27.92,Американо
2026-05-06,2026-05-06 10:39:12.641,карта,ANON-0000-0000-0141,27.92,Кортадо
2026-05-06,2026-05-06 11:34:20.640,наличные,,29.0,Американо
2026-05-06,2026-05-06 13:18:10.990,карта,ANON-0000-0000-0148,27.92,Кортадо
2026-05-06,2026-05-06 13:19:00.811,карта,ANON-0000-0000-0148,27.92,Американо
2026-05-06,2026-05-06 19:18:12.989,карта,ANON-0000-0000-0151,37.72,Капучино
2026-05-06,2026-05-06 19:19:49.548,карта,ANON-0000-0000-0151,37.72,Капучино
2026-05-07,2026-05-07 10:44:55.582,карта,ANON-0000-0000-0148,37.72,Какао
2026-05-07,2026-05-07 11:21:58.493,карта,ANON-0000-0000-0141,27.92,Кортадо
2026-05-07,2026-05-07 13:23:34.943,карта,ANON-0000-0000-0077,27.92,Кортадо
2026-05-07,2026-05-07 16:42:07.900,карта,ANON-0000-0000-0148,37.72,Какао
2026-05-07,2026-05-07 16:55:38.805,карта,ANON-0000-0000-0152,27.92,Американо
2026-05-07,2026-05-07 17:37:46.412,карта,ANON-0000-0000-0153,37.72,Капучино
2026-05-07,2026-05-07 17:38:48.195,карта,ANON-0000-0000-0153,37.72,Латте
2026-05-07,2026-05-07 18:35:37.235,наличные,,34.0,Американо с молоком
2026-05-07,2026-05-07 19:12:12.524,карта,ANON-0000-0000-0154,37.72,Капучино
2026-05-07,2026-05-07 19:13:12.195,карта,ANON-0000-0000-0154,37.72,Капучино
2026-05-08,2026-05-08 10:07:28.863,карта,ANON-0000-0000-0001,37.72,Латте
2026-05-09,2026-05-09 12:54:21.812,карта,ANON-0000-0000-0155,37.72,Капучино
2026-05-09,2026-05-09 13:03:58.556,карта,ANON-0000-0000-0156,27.92,Американо
2026-05-09,2026-05-09 13:04:57.647,карта,ANON-0000-0000-0156,37.72,Латте
2026-05-09,2026-05-09 13:06:11.261,карта,ANON-0000-0000-0156,37.72,Латте
2026-05-09,2026-05-09 13:07:16.409,карта,ANON-0000-0000-0156,37.72,Латте
2026-05-09,2026-05-09 16:55:14.601,карта,ANON-0000-0000-0118,27.92,Американо
2026-05-09,2026-05-09 16:56:14.989,карта,ANON-0000-0000-0118,27.92,Американо
2026-05-09,2026-05-09 18:01:29.895,карта,ANON-0000-0000-0157,27.92,Американо
2026-05-09,2026-05-09 18:13:56.226,карта,ANON-0000-0000-0143,32.82,Американо с молоком
2026-05-10,2026-05-10 10:09:21.972,наличные,,39.0,Латте
2026-05-10,2026-05-10 15:46:21.511,карта,ANON-0000-0000-0158,37.72,Латте
2026-05-10,2026-05-10 15:47:32.508,карта,ANON-0000-0000-0158,37.72,Латте
2026-05-10,2026-05-10 16:20:15.084,наличные,,34.0,Американо с молоком
2026-05-11,2026-05-11 11:39:52.878,карта,ANON-0000-0000-0069,37.72,Латте
2026-05-11,2026-05-11 17:02:43.648,наличные,,39.0,Латте
2026-05-11,2026-05-11 17:20:30.398,карта,ANON-0000-0000-0009,32.82,Американо с молоком
2026-05-11,2026-05-11 17:21:56.117,карта,ANON-0000-0000-0026,37.72,Какао
2026-05-11,2026-05-11 17:23:57.301,карта,ANON-0000-0000-0040,37.72,Капучино
2026-05-11,2026-05-11 17:28:54.132,карта,ANON-0000-0000-0012,32.82,Американо с молоком
2026-05-11,2026-05-11 18:35:40.257,карта,ANON-0000-0000-0115,37.72,Капучино
2026-05-11,2026-05-11 19:38:16.096,карта,ANON-0000-0000-0159,37.72,Латте
2026-05-12,2026-05-12 10:20:42.512,карта,ANON-0000-0000-0001,37.72,Латте
2026-05-12,2026-05-12 13:24:03.465,карта,ANON-0000-0000-0160,37.72,Латте
2026-05-12,2026-05-12 13:27:39.043,карта,ANON-0000-0000-0161,27.92,Американо
2026-05-12,2026-05-12 15:16:19.815,карта,ANON-0000-0000-0077,37.72,Латте
2026-05-12,2026-05-12 15:38:02.422,карта,ANON-0000-0000-0162,32.82,Американо с молоком
2026-05-12,2026-05-12 15:52:14.871,карта,ANON-0000-0000-0163,32.82,Американо с молоком
2026-05-12,2026-05-12 16:04:21.133,карта,ANON-0000-0000-0012,32.82,Американо с молоком
2026-05-12,2026-05-12 19:41:30.569,карта,ANON-0000-0000-0009,32.82,Американо с молоком
2026-05-13,2026-05-13 11:03:53.348,карта,ANON-0000-0000-0164,32.82,Американо с молоком
2026-05-13,2026-05-13 15:31:10.763,наличные,,29.0,Американо
2026-05-13,2026-05-13 15:31:50.907,наличные,,29.0,Американо
2026-05-14,2026-05-14 08:38:14.581,карта,ANON-0000-0000-0012,27.92,Американо
2026-05-14,2026-05-14 08:39:25.455,карта,ANON-0000-0000-0012,27.92,Американо
2026-05-14,2026-05-14 08:40:17.484,карта,ANON-0000-0000-0012,27.92,Американо
2026-05-14,2026-05-14 10:19:23.174,карта,ANON-0000-0000-0012,37.72,Капучино
2026-05-14,2026-05-14 11:32:29.372,карта,ANON-0000-0000-0165,37.72,Латте
2026-05-14,2026-05-14 11:34:12.851,карта,ANON-0000-0000-0165,37.72,Капучино
2026-05-14,2026-05-14 14:04:54.580,карта,ANON-0000-0000-0025,37.72,Капучино
2026-05-14,2026-05-14 14:06:00.378,карта,ANON-0000-0000-0009,32.82,Американо с молоком
2026-05-14,2026-05-14 15:01:54.785,карта,ANON-0000-0000-0040,27.92,Американо
2026-05-14,2026-05-14 16:57:57.224,карта,ANON-0000-0000-0166,32.82,Американо с молоком
2026-05-14,2026-05-14 16:59:10.194,карта,ANON-0000-0000-0166,37.72,Капучино
2026-05-14,2026-05-14 22:51:25.227,карта,ANON-0000-0000-0167,37.72,Горячий шоколад
2026-05-15,2026-05-15 08:40:05.661,карта,ANON-0000-0000-0168,37.72,Латте
2026-05-15,2026-05-15 11:14:19.353,карта,ANON-0000-0000-0012,23.02,Эспрессо
2026-05-15,2026-05-15 11:19:10.049,карта,ANON-0000-0000-0012,27.92,Американо
2026-05-15,2026-05-15 13:34:35.102,карта,ANON-0000-0000-0003,27.92,Американо
2026-05-15,2026-05-15 13:35:29.171,карта,ANON-0000-0000-0003,27.92,Американо
2026-05-15,2026-05-15 13:36:27.339,карта,ANON-0000-0000-0003,27.92,Американо
2026-05-15,2026-05-15 13:55:28.999,карта,ANON-0000-0000-0164,32.82,Американо с молоком
2026-05-15,2026-05-15 14:38:10.847,наличные,,29.0,Американо
2026-05-15,2026-05-15 14:38:52.347,карта,ANON-0000-0000-0169,27.92,Кортадо
2026-05-15,2026-05-15 14:39:44.367,карта,ANON-0000-0000-0012,27.92,Кортадо
2026-05-15,2026-05-15 17:28:58.620,карта,ANON-0000-0000-0170,23.02,Эспрессо
2026-05-15,2026-05-15 20:20:34.769,карта,ANON-0000-0000-0171,37.72,Капучино
2026-05-16,2026-05-16 10:38:42.458,карта,ANON-0000-0000-0097,32.82,Американо с молоком
2026-05-16,2026-05-16 10:39:49.431,карта,ANON-0000-0000-0172,32.82,Американо с молоком
2026-05-16,2026-05-16 11:42:50.285,наличные,,39.0,Латте
2026-05-16,2026-05-16 11:44:20.811,наличные,,39.0,Капучино
2026-05-16,2026-05-16 12:14:00.097,карта,ANON-0000-0000-0173,32.82,Американо с молоком
2026-05-16,2026-05-16 15:15:16.315,карта,ANON-0000-0000-0174,37.72,Горячий шоколад
2026-05-16,2026-05-16 17:44:31.548,карта,ANON-0000-0000-0069,37.72,Латте
2026-05-16,2026-05-16 18:12:56.934,карта,ANON-0000-0000-0175,37.72,Горячий шоколад
2026-05-16,2026-05-16 18:13:58.191,карта,ANON-0000-0000-0175,37.72,Латте
2026-05-17,2026-05-17 09:00:48.456,карта,ANON-0000-0000-0033,27.92,Американо
2026-05-17,2026-05-17 11:30:27.553,карта,ANON-0000-0000-0164,32.82,Американо с молоком
2026-05-17,2026-05-17 14:58:03.060,наличные,,34.0,Американо с молоком
2026-05-17,2026-05-17 19:55:18.534,карта,ANON-0000-0000-0012,32.82,Американо с молоком
2026-05-17,2026-05-17 19:56:46.751,карта,ANON-0000-0000-0009,37.72,Капучино
2026-05-17,2026-05-17 20:37:52.930,карта,ANON-0000-0000-0176,37.72,Капучино
2026-05-17,2026-05-17 22:34:50.797,карта,ANON-0000-0000-0177,27.92,Американо
2026-05-17,2026-05-17 22:36:33.357,карта,ANON-0000-0000-0178,37.72,Латте
2026-05-17,2026-05-17 22:37:42.821,карта,ANON-0000-0000-0179,37.72,Латте
2026-05-18,2026-05-18 08:01:37.898,карта,ANON-0000-0000-0180,37.72,Капучино
2026-05-18,2026-05-18 08:02:39.959,карта,ANON-0000-0000-0180,37.72,Капучино
2026-05-18,2026-05-18 11:15:56.089,карта,ANON-0000-0000-0181,32.82,Американо с молоком
2026-05-18,2026-05-18 16:48:29.374,карта,ANON-0000-0000-0172,32.82,Американо с молоком
2026-05-18,2026-05-18 16:49:27.131,карта,ANON-0000-0000-0097,32.82,Американо с молоком
2026-05-18,2026-05-18 19:58:44.210,карта,ANON-0000-0000-0040,32.82,Американо с молоком
2026-05-18,2026-05-18 20:22:53.111,карта,ANON-0000-0000-0009,37.72,Латте
2026-05-18,2026-05-18 22:05:27.473,наличные,,39.0,Капучино
2026-05-19,2026-05-19 07:58:38.312,карта,ANON-0000-0000-0182,27.92,Американо
2026-05-19,2026-05-19 07:59:33.549,карта,ANON-0000-0000-0182,27.92,Американо
2026-05-19,2026-05-19 08:00:35.061,карта,ANON-0000-0000-0183,37.72,Капучино
2026-05-19,2026-05-19 09:28:49.723,наличные,,24.0,Эспрессо
2026-05-19,2026-05-19 12:14:26.676,карта,ANON-0000-0000-0184,32.82,Американо с молоком
2026-05-19,2026-05-19 14:43:40.049,карта,ANON-0000-0000-0012,27.92,Американо
2026-05-19,2026-05-19 15:58:58.192,карта,ANON-0000-0000-0185,32.82,Американо с молоком
2026-05-19,2026-05-19 18:12:36.304,карта,ANON-0000-0000-0186,32.82,Американо с молоком
2026-05-19,2026-05-19 18:13:47.762,карта,ANON-0000-0000-0186,23.02,Эспрессо
2026-05-19,2026-05-19 18:16:30.022,карта,ANON-0000-0000-0186,37.72,Горячий шоколад
2026-05-19,2026-05-19 19:51:06.979,карта,ANON-0000-0000-0187,37.72,Капучино
2026-05-19,2026-05-19 21:15:41.761,карта,ANON-0000-0000-0188,37.72,Капучино
2026-05-19,2026-05-19 21:18:36.101,карта,ANON-0000-0000-0189,37.72,Капучино
2026-05-20,2026-05-20 10:05:59.163,карта,ANON-0000-0000-0190,32.82,Американо с молоком
2026-05-20,2026-05-20 10:17:51.867,карта,ANON-0000-0000-0191,37.72,Латте
2026-05-20,2026-05-20 10:58:48.379,карта,ANON-0000-0000-0001,37.72,Латте
2026-05-20,2026-05-20 11:15:16.363,карта,ANON-0000-0000-0143,27.92,Американо
2026-05-20,2026-05-20 11:16:19.637,карта,ANON-0000-0000-0143,27.92,Американо
2026-05-20,2026-05-20 13:27:13.420,карта,ANON-0000-0000-0003,27.92,Американо
2026-05-20,2026-05-20 13:28:10.440,карта,ANON-0000-0000-0003,27.92,Американо
2026-05-20,2026-05-20 14:13:19.017,карта,ANON-0000-0000-0192,32.82,Американо с молоком
2026-05-20,2026-05-20 14:14:31.354,карта,ANON-0000-0000-0192,37.72,Капучино
2026-05-20,2026-05-20 14:32:21.252,наличные,,29.0,Американо
2026-05-20,2026-05-20 17:12:51.121,карта,ANON-0000-0000-0120,37.72,Латте
2026-05-20,2026-05-20 17:13:56.897,карта,ANON-0000-0000-0193,37.72,Латте
2026-05-20,2026-05-20 20:36:48.320,карта,ANON-0000-0000-0194,32.82,Американо с молоком
2026-05-20,2026-05-20 20:37:57.316,карта,ANON-0000-0000-0194,37.72,Какао
2026-05-20,2026-05-20 20:46:52.085,карта,ANON-0000-0000-0195,27.92,Кортадо
2026-05-20,2026-05-20 21:36:53.986,карта,ANON-0000-0000-0012,32.82,Американо с молоком
2026-05-20,2026-05-20 21:37:57.777,карта,ANON-0000-0000-0012,32.82,Американо с молоком
2026-05-21,2026-05-21 08:27:38.230,карта,ANON-0000-0000-0196,37.72,Латте
2026-05-21,2026-05-21 09:43:50.690,наличные,,29.0,Американо
2026-05-21,2026-05-21 09:44:40.309,наличные,,34.0,Американо с молоком
2026-05-21,2026-05-21 09:46:09.430,наличные,,39.0,Какао
2026-05-21,2026-05-21 10:05:08.033,наличные,,39.0,Латте
2026-05-21,2026-05-21 16:10:19.956,карта,ANON-0000-0000-0197,37.72,Латте
2026-05-21,2026-05-21 18:13:23.998,карта,ANON-0000-0000-0012,23.02,Эспрессо
2026-05-21,2026-05-21 19:11:09.212,карта,ANON-0000-0000-0198,37.72,Капучино
2026-05-21,2026-05-21 20:13:48.358,карта,ANON-0000-0000-0199,37.72,Капучино
2026-05-22,2026-05-22 09:34:41.818,карта,ANON-0000-0000-0200,37.72,Капучино
2026-05-22,2026-05-22 10:49:47.044,карта,ANON-0000-0000-0191,32.82,Американо с молоком
2026-05-22,2026-05-22 11:18:14.265,карта,ANON-0000-0000-0141,27.92,Кортадо
2026-05-22,2026-05-22 11:34:54.968,карта,ANON-0000-0000-0097,32.82,Американо с молоком
2026-05-22,2026-05-22 12:29:50.841,карта,ANON-0000-0000-0012,27.92,Американо
2026-05-22,2026-05-22 12:30:43.347,карта,ANON-0000-0000-0012,27.92,Американо
2026-05-22,2026-05-22 14:00:20.499,карта,ANON-0000-0000-0009,32.82,Американо с молоком
2026-05-22,2026-05-22 19:24:58.098,карта,ANON-0000-0000-0134,37.72,Капучино
2026-05-22,2026-05-22 19:25:58.574,карта,ANON-0000-0000-0134,37.72,Капучино
2026-05-22,2026-05-22 21:23:53.000,карта,ANON-0000-0000-0180,37.72,Горячий шоколад
2026-05-22,2026-05-22 21:24:49.584,карта,ANON-0000-0000-0180,37.72,Капучино
2026-05-23,2026-05-23 10:10:19.640,карта,ANON-0000-0000-0201,37.72,Капучино
2026-05-23,2026-05-23 12:22:06.605,карта,ANON-0000-0000-0202,23.02,Эспрессо
2026-05-23,2026-05-23 15:55:16.628,карта,ANON-0000-0000-0180,37.72,Капучино
2026-05-23,2026-05-23 15:56:27.237,карта,ANON-0000-0000-0203,37.72,Капучино
2026-05-23,2026-05-23 16:18:14.053,карта,ANON-0000-0000-0180,37.72,Капучино
2026-05-23,2026-05-23 16:41:00.043,карта,ANON-0000-0000-0077,37.72,Латте
2026-05-23,2026-05-23 17:14:33.237,карта,ANON-0000-0000-0153,37.72,Капучино
2026-05-23,2026-05-23 17:15:44.861,карта,ANON-0000-0000-0153,37.72,Латте
2026-05-23,2026-05-23 19:03:53.856,карта,ANON-0000-0000-0204,27.92,Кортадо
2026-05-23,2026-05-23 19:17:28.431,карта,ANON-0000-0000-0134,37.72,Капучино
2026-05-23,2026-05-23 19:18:26.418,карта,ANON-0000-0000-0205,37.72,Капучино
2026-05-23,2026-05-23 19:42:31.546,карта,ANON-0000-0000-0206,37.72,Капучино
2026-05-23,2026-05-23 20:15:01.429,карта,ANON-0000-0000-0207,37.72,Капучино
2026-05-23,2026-05-23 20:16:24.205,карта,ANON-0000-0000-0207,37.72,Латте
2026-05-23,2026-05-23 22:48:10.813,карта,ANON-0000-0000-0208,32.82,Американо с молоком
2026-05-23,2026-05-23 22:55:36.926,наличные,,39.0,Горячий шоколад
2026-05-24,2026-05-24 11:11:59.182,карта,ANON-0000-0000-0141,27.92,Кортадо
2026-05-24,2026-05-24 11:15:08.341,карта,ANON-0000-0000-0012,27.92,Американо
2026-05-24,2026-05-24 11:16:13.016,карта,ANON-0000-0000-0012,27.92,Американо
2026-05-24,2026-05-24 16:07:19.816,карта,ANON-0000-0000-0081,37.72,Горячий шоколад
2026-05-24,2026-05-24 18:17:40.330,карта,ANON-0000-0000-0209,27.92,Кортадо
2026-05-24,2026-05-24 18:18:36.698,карта,ANON-0000-0000-0209,27.92,Кортадо
2026-05-24,2026-05-24 22:30:40.198,карта,ANON-0000-0000-0210,32.82,Американо с молоком
2026-05-25,2026-05-25 07:40:58.818,наличные,,29.0,Американо
2026-05-25,2026-05-25 12:13:53.388,карта,ANON-0000-0000-0211,37.72,Латте
2026-05-25,2026-05-25 12:40:23.587,наличные,,29.0,Американо
2026-05-25,2026-05-25 12:42:10.258,карта,ANON-0000-0000-0212,32.82,Американо с молоком
2026-05-25,2026-05-25 12:43:13.275,карта,ANON-0000-0000-0212,32.82,Американо с молоком
2026-05-25,2026-05-25 12:58:12.049,карта,ANON-0000-0000-0213,32.82,Американо с молоком
2026-05-25,2026-05-25 16:47:09.557,карта,ANON-0000-0000-0040,32.82,Американо с молоком
2026-05-25,2026-05-25 16:48:16.834,карта,ANON-0000-0000-0040,27.92,Американо
2026-05-26,2026-05-26 10:20:02.233,карта,ANON-0000-0000-0001,37.72,Латте
2026-05-26,2026-05-26 14:24:49.812,карта,ANON-0000-0000-0214,32.82,Американо с молоком
2026-05-26,2026-05-26 14:26:05.248,карта,ANON-0000-0000-0215,27.92,Кортадо
2026-05-26,2026-05-26 14:40:58.882,карта,ANON-0000-0000-0216,32.82,Американо с молоком
2026-05-26,2026-05-26 17:19:15.521,карта,ANON-0000-0000-0217,37.72,Капучино
2026-05-26,2026-05-26 18:09:52.843,карта,ANON-0000-0000-0218,37.72,Горячий шоколад
2026-05-26,2026-05-26 18:11:02.204,карта,ANON-0000-0000-0218,37.72,Горячий шоколад
2026-05-26,2026-05-26 18:13:14.299,карта,ANON-0000-0000-0218,27.92,Американо
